city_id,latitude,longitude
Zuwara,32.933333,12.083333
Zulfi,26.28333,44.8
Zella,28.548889,17.551111
Zahedan,29.51,60.84
Zabul,32.1,67.1
Yobe,12,11.5
Yirgou,13.4108,-1.05222
Yendere,10.2,-4.966667
Yatenga,13.583333,-2.416667
Yagha,13.4070685,0.1049465
Waziristan,32.5826609,69.3729205
Wajir,1.75,40.0667
Vahdat,38.553056,69.019722
Utrecht,52.083333,5.1166667
Tunis,36.806389,10.181667
Tripoli,32.88722222,13.191389
Toumour,13.66667,13.13333
Toulfe,13.8819234,-1.9608588
Tongo Tongo,15.053211,1.835514
Toeni,13.4367,-3.1814
Tillaberi,14.211,1.453
Tigris,35.3,43.13
Tetouan,35.5786,-5.3446
Tel aviv,32.0831,34.7809
Tchakamari,11.162222,14.012778
Tangiers,35.766667,-5.8
Takhar,36.7,69.8
Taiz,13.579,44.02
Surabaya,-7.265278,112.7425
Sulu,5.973056,121.15
Sousse,35.825,10.636
Sirte,31.205,16.588611
Singapore,1.289,103.85
Sindh,26.35,68.85
Sinai,31.12,33.8
Simbolongo,-12.067,40.37
Sidi Bouzid,35.038,9.484
Sideradougou,10.687599,-4.262695
Sibolga,1.742,98.779
Shirqat,35.503611,43.2325
Sheikh Zuweid,31.211944,34.110556
Shabwah,15.3689,47.0236
Sfax,34.74,10.76
Seno,14.03333,-0.03333
Segou,13.431,-6.215
Sebha,27.037,14.428
Sari Pul,35.6,66.3
Sarh,9.142,18.392
Sarawak,2.8,113.883333
Sandawadjiri,11.116667,13.933333
Sandakan,5.84,118.117
Samangan,36.265278,68.016667
Sale,34.0333,-6.8
Saladin,34.45,43.58333
Sadah,16.985833,43.764444
Sabah,5.25,117
Raqqa,35.95,39.0167
Rajshahi,24.374,88.6011
Rafah,31.287,34.259
Rabat,34.020882,-6.84165
Quiterajo,-11.751149,40.4379057
Punjab,30.79,75.84
Pulwama,33.88,74.92
Port Sudan,19.615,37.216
Perlis,6.5,100.25
Perak,4.75,101
Parwan,35,69
Paris,48.856613,2.35222
Pama,11.25,0.7
Palma,-10.783333,40.48333
Pala,9.3626599,14.875144
Paktika,32.5,68.8
Paktia,33.6,69.5
Oursi,14.6780906,-0.4781629
Oudalan,14.45,-0.2333
Oslo,59.913889,10.752222
Oruzgan,32.8,66
Oromia,7.989062,39.38118
Oran,35.696944,-0.633056
Nyeri,-0.42,36.95
